query_id,query,category,system,latency_ms,rank,doc_id,score,job_title,company,job_location,job_level,job_type,job_skills
Q01,junior data analyst with SQL Tableau and Python,data,bm25,581.6099300000133,1,JOB_0144833,38.07113274644646,Senior Analyst,Harnham,"London, England, United Kingdom",Mid senior,Onsite,"Data Analysis, Data Visualization, Forecasting, Optimization, Python, SQL, Tableau, BI Tools, Communication, Teamwork, Stakeholder Management, Project Management, Business Intelligence, Data Science, Machine Learning, Statistics, Data Mining, Data Modelling, Data Warehousing, Business Analytics"
Q01,junior data analyst with SQL Tableau and Python,data,bm25,581.6099300000133,2,JOB_0163837,35.80050489520793,Junior Data Analyst,Red Gate,"Arlington, VA",Associate,Onsite,"Data Analysis, Business Intelligence, Data Visualization, Database Management, Data Mining, Statistical Analysis, SAS, Inferential Statistics, Tableau, Qlik, SQL, Java, Python, R, Program Management, DoD Environment, OUSD(I&S) Experience"
Q01,junior data analyst with SQL Tableau and Python,data,bm25,581.6099300000133,3,JOB_0495179,34.96563054563674,Junior Equity Analyst,Zeno Investment Partners,"London Area, United Kingdom",Mid senior,Onsite,"Equity analyst, Data analysis, Data mining, Statistical techniques, Analytical goals, Data quality, Data integrity, Reporting, Visualization, Presentation skills, Communication skills, Sectoral focus, Thematic focus, Channel research, Stock selection, Performancebased award, Investment management, Hedge fund, Business analysis, Equity research, Risk management, Portfolio management, Financial modeling, Financial analysis, Quantitative analysis, SQL, Python, R, Tableau, Power BI, Excel, Bloomberg Terminal, FactSet, Morningstar, PitchBook, Capital IQ, Screener, Google Finance, Yahoo Finance"
Q01,junior data analyst with SQL Tableau and Python,data,bm25,581.6099300000133,4,JOB_0152534,34.17498419429196,Senior Data Analyst,WalkWater Technologies,"Cupertino, CA",Mid senior,Onsite,"Data Analyst, Data Engineer, Data Scientist, Python, API Integration, SQL, Tableau, Tableau Prep, Data Engineering, Excel, Big Data, Snowflake, Hadoop Ecosystem, Spark, Pyspark, Hive, Presto, HMS, Scala, Jupyter Notebook, Content Management Systems, Data Modeling, Reporting Solutions, Automated Reporting, Data Visualization, DataDriven Decision Making, Coherent Insights, Tableau Expertise, Production Tableau Dashboards"
Q01,junior data analyst with SQL Tableau and Python,data,bm25,581.6099300000133,5,JOB_0406295,33.56510693436826,Financial Data Analyst,Accroid Inc,"New York, NY",Associate,Onsite,"SQL, Tableau, Python, AWS, Redshift, S3 Bucket, Financial analysis, Financial modeling, Financial reporting, Data analysis, Data visualization, Business intelligence"
Q01,junior data analyst with SQL Tableau and Python,data,bm25,581.6099300000133,6,JOB_0197249,33.482854407851335,Business Intelligence PowerBI Developer / SQL ETL Developer,"Estrada Consulting, Inc","West Sacramento, CA",Mid senior,Onsite,"Microsoft Power BI, Tableau, Microsoft SQL Server Reporting Services, Python, Microsoft SQL Server Integration Services, Microsoft Azure Data Factory, Microsoft PowerBI Data Analyst Certification, Tableau Certified Data Analyst Certification, Microsoft Azure Data Engineering Associate Certification, Reporting, Analytics, Data Visualization, Data Warehousing, Business Intelligence, ETL, Data Pipeline Integration"
Q01,junior data analyst with SQL Tableau and Python,data,bm25,581.6099300000133,7,JOB_0313233,33.420851277679425,Business Intelligence PowerBI Developer / SQL ETL Developer (C),"Estrada Consulting, Inc","West Sacramento, CA",Mid senior,Onsite,"Reporting, Analytics, Microsoft Power BI, Tableau, Microsoft SQL Server Reporting Services, Python, ETL, Microsoft SQL Server Integration Services, Microsoft Azure Data Factory (ADF), Microsoft Power BI Data Analyst Certification, Tableau Certified Data Analyst Certification, Microsoft Azure Data Engineering Associate Certification, Data warehouse, System integration, Custom application development, Project management, Custom reporting solutions"
Q01,junior data analyst with SQL Tableau and Python,data,bm25,581.6099300000133,8,JOB_0337395,33.39247046694847,Senior Data Analyst,Accroid Inc,"Reston, VA",Associate,Onsite,"SQL, Tableau, Python, AWS, Redshift, S3 Bucket, Communication Skills, Curiosity, Proactivity"
Q01,junior data analyst with SQL Tableau and Python,data,bm25,581.6099300000133,9,JOB_0269144,33.3094208059707,Tableau Analyst,WalkWater Technologies,"Austin, TX",Mid senior,Onsite,"Tableau, SQL, SQL Tuning, Python, Workday, Visualization, Data Analysis, Qualitative Data Analysis, Statistical Data Analysis, I&D Research, Cultural Research, Communication, Problem Solving, Prioritization, Time Management, Flexibility, Adaptability, SelfDirected Problem Solving, Matrixed Organization, SQL Queries, Tableau Workbooks, Ad Hoc Analysis, Custom Reports, Presentations, Technical Documents, Quantitative Data Analysis, Qualitative Data Analysis, I&D Data Practices"
Q01,junior data analyst with SQL Tableau and Python,data,bm25,581.6099300000133,10,JOB_0304249,33.18074862418604,Senior Data Analyst,World Insurance Associates LLC,"Iselin, NJ",Mid senior,Onsite,"Data Analysis, Data Mining, Data Visualization, Data Modeling, Data Governance, Data Quality Management, SQL, TSQL, Python, Pyspark, Google Big Query, Microsoft Power Apps, Power Automate, Common Data Service (Power Platform), BI solutions, Tableau, Power BI, DAX, RLS, Relational Data Model, Dimensional Data Model, Data Profiling, Data Interpretation, Large Dataset Analysis, Data Cleansing, Data Preprocessing, Test Automation, Continuous Learning, Collaboration, Teamwork, Analytical Skills, Communication Skills"
