query_id,query,category,system,rank,doc_id,score,job_title,company,job_location,job_level,job_type,job_skills,latency_ms
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca128,1,JOB_0250432,0.6873716115951538,Senior Data Analyst,Compunnel Inc.,"San Antonio, TX",Mid senior,Onsite,"Machine Learning, Python, SQL, SAS, Business Stakeholder Management, Data Analysis, Presentation Skills, Report Generation, Dashboard Creation, DataDriven Insights, Problem Identification, Data Supplementation, Database Design, Data Modelling, BI Tools (SAS Tableau Cognos Spotfire Alteryx Knime), Statistical Modeling, Productivity Tools (MS Word PowerPoint Excel), Bachelors Degree",47.38124400000743
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca128,2,JOB_0430244,0.6789466142654419,Data Analyst,Insight Global,"North Carolina, United States",Mid senior,Onsite,"Data Analysis, Reporting, PowerBI, Dashboard Creation, Data Visualization, Scripting, Python, SQL, ServiceNow, Google Analytics, State/Local Government",47.38124400000743
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca128,3,JOB_0375285,0.6707049012184143,Data Analyst,Eames Consulting,"Edinburgh City, Scotland, United Kingdom",Mid senior,Onsite,"Data Analysis, Data Strategy, Python, SQL, Data Integration, ETL, SSIS, SSRS, Data Validation, Team Collaboration, Agile Methodologies, Scrum, TDD, SQL Unit Testing Frameworks",47.38124400000743
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca128,4,JOB_0113400,0.6684644818305969,BI/Data Analyst,TEK NINJAS,"Denver, CO",Mid senior,Onsite,"Data Analysis, SQL, Data Visualization, Tableau, AWS (S3/ EMR/Lambda), Hadoop, Spark, Data Science, Python, Bash scripting, Linux, Git, Project Management, Data Engineering, Business Requirements Gathering, ETL (Extract Transform Load)",47.38124400000743
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca128,5,JOB_0284472,0.6650146245956421,Data Analyst IV,Dice,"Cupertino, CA",Mid senior,Onsite,"Python, API Integration, SQL, Tableau, Tableau Prep, Data Engineering, Excel, Big Data, Snowflake, Apache Spark, Pyspark, Hive, Presto, HMS, Scala, Data Exploration, Data Transformation, ETL, Jupyter Notebook, Data Modeling, Reporting, Business Requirements, Data Visualization, Coherent Insights, Data Driven Decision Making, Tableau Expertise, Production Tableau Dashboards, Technical Background",47.38124400000743
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca128,6,JOB_0274181,0.6608766913414001,"Data Analyst-SQL, Python, Visualization tool",Zortech Solutions,"Mountain View, CA",Associate,Onsite,"SQL, Python, Tableau, Qlik sense, Power BI, R, Scala, Shell scripting, Alteryx, Google suite, Master’s degree in mathematics statistics engineering, Data visualization, Data analytics, Datadriven business case, ROI, Research strategy, Datadriven insights",47.38124400000743
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca128,7,JOB_0115107,0.6606313586235046,"Data Analyst | Brooklyn, NY | Long term Contract",Spanco Solutions,"Brooklyn, NY",Associate,Onsite,"PL/SQL, SQL, Oracle 12c, Performance Tuning, SQL optimization, PL/SQL code optimization, XML Processing, Objectoriented programming, Large objects, Data structures, Data manipulation, Databases, Design, Programming, Testing, Implementation, Technical documentation, User documentation, Software conversion",47.38124400000743
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca128,8,JOB_0337395,0.6554625630378723,Senior Data Analyst,Accroid Inc,"Reston, VA",Associate,Onsite,"SQL, Tableau, Python, AWS, Redshift, S3 Bucket, Communication Skills, Curiosity, Proactivity",47.38124400000743
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca128,9,JOB_0423481,0.6537629961967468,Jr. Data Analyst,SynergisticIT,"Oklahoma City, OK",Mid senior,Onsite,"Python, Software Development Life Cycle, Linear Algebra, Statistics, Mathematics, Data Visualization, NLP, Scala, Django, Deep Learning, Machine Learning, UI, Access Control, Data Science, Algorithms, Data Analysis, Teamwork, Problem Solving, Communication Skills, Technical Writing, Bachelor's or Master's in Computer Engineering Computer Science Mathematics Electrical Engineering Information Systems or IT, Mathematics or Statistics background",47.38124400000743
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca128,10,JOB_0334377,0.6480799317359924,Data Analyst I,Mathys+Potestio / The Creative Party®,"Culver City, CA",Mid senior,Onsite,"Data Analysis, Data Cleaning, Data Visualization, Tableau, SQL, Python, Data Quality Management, Data Maintenance, Dashboarding, Reporting, Data Coordination, Data Handling, Data Manipulation, Programming, Data Querying, Bachelor's Degree, Work Experience, Attention to Detail, ProblemSolving",47.38124400000743
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca128,11,JOB_0117133,0.6462053656578064,Senior Data Scientist,TechDoQuest,"Seattle, WA",Mid senior,Onsite,"Python, R, AWS, Tableau, Azure, Visualization tools, Data science analysis, Data analytics, Statistical analysis, Machine learning, Data pipelines, Proficient in Java, Proficient in Scala, Proficient in large scale ML/DL platforms, Proficient in processing tech stack, CTR/CVR modeling, Generative AI, EMR, S3, Spark, Databricks, Snowflake, Automated deployment, Docker",47.38124400000743
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca128,12,JOB_0120731,0.6432870626449585,Data Analyst/Scientist,VeeAR Projects Inc.,"Cupertino, CA",Associate,Onsite,"Data analysis, Data science, Clickstream data analysis, Tableau, SQL, Clickstream data, Web analytics",47.38124400000743
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca128,13,JOB_0255969,0.6372177600860596,Data Analyst/Scientist,VeeAR Projects Inc.,"Austin, TX",Associate,Onsite,"Data Analytics, Data Science, Web Analytics, Clickstream Data Analysis, Tableau, SQL, Clickstream Data, 2+ years of experience",47.38124400000743
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca128,14,JOB_0443051,0.6343719363212585,Senior Data Scientist,eTeam,"Cupertino, CA",Mid senior,Onsite,"Python, Algorithms, Classification, Regression, Clustering, Anomaly Detection, NLP, LLM, SQL, Hadoop, Spark, Data Science Pipelines, Data Science Applications, Scala, Java, Complex Systems Integration, Data Analysis, Business Insight, Presentation Skills, Client Features, Agile Logic, Communication, Quantitative Field, Computer Science, Applied Mathematics, Statistics",47.38124400000743
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca128,15,JOB_0152534,0.631892204284668,Senior Data Analyst,WalkWater Technologies,"Cupertino, CA",Mid senior,Onsite,"Data Analyst, Data Engineer, Data Scientist, Python, API Integration, SQL, Tableau, Tableau Prep, Data Engineering, Excel, Big Data, Snowflake, Hadoop Ecosystem, Spark, Pyspark, Hive, Presto, HMS, Scala, Jupyter Notebook, Content Management Systems, Data Modeling, Reporting Solutions, Automated Reporting, Data Visualization, DataDriven Decision Making, Coherent Insights, Tableau Expertise, Production Tableau Dashboards",47.38124400000743
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca128,16,JOB_0071300,0.6318548917770386,Data Analyst (Entry/Junior Level),SynergisticIT,"Bellevue, WA",Mid senior,Onsite,"Data Science, Python, Linear Algebra, Communication, Statistics, Mathematics, Deep Learning, Data Visualization, NLP, Scala, Django, Algorithm Development, Software Analysis, Big Data Analysis, Webbased UI Integration, Commercial Indexing Products, Access Control Mechanisms, Bachelor's or Master's Degree in Computer Engineering Computer Science Mathematics Electrical Engineering Information Systems or IT, Mathematics or Statistics Background",47.38124400000743
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca128,17,JOB_0471793,0.6306704878807068,Sr. Data Analyst,"Prodege, LLC","Mendota Heights, MN",Mid senior,Onsite,"Data analysis, SQL, Python, R, Business Intelligence (BI), Data visualization, Sigma, Tableau, Looker, Statistical modeling, Predictive analytics, Data mining, Hypothesis testing, Cohort analysis, Dashboard modeling, Data science, Machine learning, Root cause analysis, Forecasting",47.38124400000743
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca128,18,JOB_0051838,0.625761091709137,Analyst - RNA,WNS,"Sutherland, New South Wales, Australia",Associate,Onsite,"SAS Programming, R Programming, SQL, Excel, BI reporting, Visualisation tools, Cognos, Tableau, R Shiny, Data Engineering, Data Manipulation, Data Extraction, Data Transformation, Pricing logic, Dash boarding, Problemsolving skills, Numerical skills, Accuracy, Adaptability, Selflearning, Insurance industry experience",47.38124400000743
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca128,19,JOB_0058197,0.6246268153190613,Senior Data Analyst,Harnham,"Thatcham, England, United Kingdom",Mid senior,Onsite,"Data Analysis, Reporting Metrics, SQL, Power BI, Snowflake, Data Warehousing, Manufacturing Industry, Stakeholder Management, Team Leadership",47.38124400000743
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca128,20,JOB_0164106,0.6238134503364563,Data Analyst,eJAmerica,"Philadelphia, PA",Mid senior,Onsite,"Big Data, Pentaho Architecture, AWS (S3 Athena), SQL (Hive Teradata Spark SQL), Data Quality, Python, Databricks, Machine Learning, Tableau, Power BI, Spark, Scala, Data Analysis, Data Science, Computer Science, Information Systems, ETL, Data Warehousing",47.38124400000743
Q02,machine learning engineer with NLP PyTorch and transformers,data,dense_pca128,1,JOB_0422808,0.698006272315979,Machine Learning Engineer,JLL,"Sydney, New South Wales, Australia",Associate,Onsite,"Machine learning, Deep learning, Construction Project Management, Data science, Testdriven development, Statistical analysis, Internal DSTG ML libraries, Large Language Models (LLMs), Computer Vision (CV), Software development, MultiGPU platforms, Agile, DevOps, ConfigurationAsCode, Data structures, Data modelling, Software architecture, Math, Probability, Statistics, Algorithms, Python, Java, R, Keras, PyTorch, scikit learn, Analytical skills, Problemsolving skills",25.915497000369214
Q02,machine learning engineer with NLP PyTorch and transformers,data,dense_pca128,2,JOB_0426737,0.6936553716659546,AI/ML Engineer-Data Scientist,Saransh Inc,"Los Angeles, CA",Mid senior,Onsite,"AI/ML EngineerData Scientist, LLM, Generative AI, Document extraction/chat, Python, NLP, AWS, Neptune, Neo4J, Opendomain ontologies, Health care domainspecific ontologies, Knowledge graphs, Ontology building from scratch, Structured data, Unstructured data, ML models development, Big data infrastructure, Knowledge graph, Textract, Comprehend Medical",25.915497000369214
Q02,machine learning engineer with NLP PyTorch and transformers,data,dense_pca128,3,JOB_0334539,0.6841877102851868,"Machine Learning Engineer Onsite ( Phoenix, AZ ) ( Day 1 onsite )","Conch Technologies, Inc","Phoenix, AZ",Mid senior,Onsite,"Machine Learning Engineering, Generative AI, Information Retrieval Implementation, LLM Integration, Response Handling, Productionizing Vectorization Pipeline, Integration Language Chain With Backend",25.915497000369214
Q02,machine learning engineer with NLP PyTorch and transformers,data,dense_pca128,4,JOB_0053531,0.6796107292175293,Engineer - Machine Learning Track,"Huawei Technologies Canada Co., Ltd.","Waterloo, Ontario, Canada",Mid senior,Onsite,"Machine Learning, C/C++, Parallel programming, ARM architectures, ARM Neon SIMD programming, Performance optimization, Deep Learning, Machine Learning, Computer Vision, Natural Language Processing, GPU programming, DSP programming, Python, TensorFlow, PyTorch",25.915497000369214
Q02,machine learning engineer with NLP PyTorch and transformers,data,dense_pca128,5,JOB_0314804,0.6625210642814636,"Senior Machine Learning Engineer (LLM) in Foster City, CA, USA",Energy Jobline,"Foster City, CA",Mid senior,Onsite,"Machine Learning, Natural Language Processing, Deep Learning, Dialog Systems, Chatbots, StateoftheArt Techniques, Python, Java, C++, Statistics, Software Engineering, AI, R",25.915497000369214
Q02,machine learning engineer with NLP PyTorch and transformers,data,dense_pca128,6,JOB_0254537,0.6516664028167725,Machine Learning Engineer,Optimal Staffing,"Warren, MI",Associate,Onsite,"Machine Learning, Deep Learning, Natural Language Processing, Python, R, TensorFlow, PyTorch, Keras, Scikitlearn, Pandas, NumPy, Matplotlib, Seaborn, AWS, Azure, Google Cloud Platform, SQL, NoSQL, Data Visualization, Data Analysis, Data Mining, Software Development, Agile Development, Scrum, Kanban",25.915497000369214
Q02,machine learning engineer with NLP PyTorch and transformers,data,dense_pca128,7,JOB_0323445,0.64998459815979,Machine Learning Engineer,"HireIO, Inc.","San Francisco, CA",Mid senior,Onsite,"Largescale language models, Enterprise applications, Data construction, Instruction tuning, Preference alignment, Model optimization, Content generation, Reasoning, Code generation, NLP, Ranking, Advertising, Search engine, Recommender system, Distributed system, Machine learning, CVrelated algorithms, RL algorithms, Problem analysis, Problem solving, Communication, Collaboration, New technologies",25.915497000369214
Q02,machine learning engineer with NLP PyTorch and transformers,data,dense_pca128,8,JOB_0417246,0.6379798650741577,MACHINE LEARNING RESEARCHER,Afton Consulting Group,"New York, NY",Mid senior,Onsite,"Quantitative Finance, Statistical analysis, Econometrics, Financial modeling, Machine learning, Supervised learning, Unsupervised learning, Timeseries analysis, Deep learning, Python, R, Data preprocessing, Feature engineering, Data engineering, Financial markets, Trading strategies, Risk management, Communication skills, Collaboration skills, Ability to work in a dynamic environment, Ability to adapt to changing project requirements",25.915497000369214
